Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
70,-1.0,0.33751312,1.0,-0.5769414,1.0,-0.63861525,0.20711273,1.0,1.0,0.23353851,0.568491,-0.5354244,1.0,-1.0,1.0,-0.60615695,0.89121604,-1.0,-1.0,1.0,-1.0,0.64044404,-0.85047716,1.0
71,-1.0,-0.03523463,1.0,-0.11605559,1.0,-1.0,-0.60573065,0.96043766,1.0,-0.19679391,0.63700974,-0.4401647,1.0,-1.0,1.0,-0.21269324,0.7893311,-1.0,-1.0,1.0,-1.0,0.81064075,-1.0,1.0
72,-1.0,0.3307766,1.0,1.0,1.0,0.07724005,0.25350204,0.22645733,1.0,-0.8361626,0.23252417,-0.51487267,1.0,-1.0,1.0,-0.45239642,0.45733044,-1.0,-1.0,1.0,-1.0,0.74446476,-0.9989167,1.0
73,-1.0,1.0,1.0,1.0,-0.419545,0.033073958,-0.22428373,0.44955042,0.20792893,-0.32401305,0.9854827,0.55559653,1.0,-1.0,1.0,-1.0,0.18339002,-1.0,-1.0,1.0,-1.0,0.8666675,-0.5516852,1.0
74,-1.0,1.0,1.0,1.0,-1.0,-0.5309426,-0.6595745,-0.060528874,0.37188974,-0.41345066,1.0,-0.10165194,1.0,-1.0,1.0,-1.0,-0.53472626,-1.0,-1.0,1.0,-1.0,1.0,-0.7846924,1.0
75,-1.0,1.0,1.0,1.0,-0.65161324,-0.30952203,-0.8099139,0.53464174,1.0,-0.11129379,1.0,0.04819727,1.0,-1.0,1.0,-1.0,-0.14596888,-1.0,-1.0,1.0,-1.0,1.0,-0.7521127,1.0
76,-1.0,1.0,1.0,1.0,-0.67950594,-0.48330188,-0.86135375,0.435788,0.9460367,0.265,1.0,-0.058179647,1.0,-1.0,1.0,-1.0,-0.009628773,-1.0,-1.0,1.0,-1.0,1.0,-0.9105022,1.0
77,-1.0,1.0,1.0,1.0,-1.0,-0.60308135,-0.3705924,0.077878565,1.0,0.37177986,1.0,-0.2837009,1.0,-1.0,1.0,-1.0,-0.18319485,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
78,-1.0,1.0,1.0,1.0,-0.6593703,-0.9467968,-0.684639,0.13575992,1.0,0.7718159,1.0,-0.14505076,1.0,-1.0,1.0,-1.0,-0.54037035,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
79,-1.0,1.0,1.0,1.0,0.6114266,-1.0,-0.1044447,0.069613725,1.0,0.4729312,1.0,-0.7024096,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.8092628,-1.0,1.0
80,-0.9113264,1.0,1.0,1.0,0.59100085,-1.0,-1.0,1.0,1.0,0.38197076,1.0,-0.46217167,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.7341802,-1.0,1.0
