Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
49,-15.845144169138605,0.0,0.0,-12.834717393141121,-5.220089715812641,-11.796233776857935,-6.254187678916372,0.0,-1.8515113270750787,0.0,-16.250820876797455,-16.313924454641644,0.0,-16.19866844123602,0.0,-13.20736897620504,0.0,-16.194064958144853,-16.161334786850414,0.0,-16.183581296505928,-13.171435109524673,-10.070485009120619,0.0
50,-15.862188108077206,-3.449723639412064,0.0,-15.2835623436892,-6.096677817344652,-9.406104475973397,-1.446052808196802,0.0,-2.0023139378187054,-5.696644288339513,-10.226972213115687,-16.269149119274633,0.0,-15.89011372833409,0.0,-11.197874078671369,-3.594074891937276,-16.006070998903812,-15.988671991871751,0.0,-16.271039472386548,-11.962648069535017,-11.161388892860655,0.0
51,-14.099803859401723,-12.98175357108621,0.0,-14.649614140053568,0.0,-12.990857565601507,-5.711448200197594,-0.1589694234288954,0.0,-12.489146778030234,-15.814596940242952,-14.131620143550649,0.0,-16.29672720868711,0.0,-5.755678568213782,-4.731497207983975,-16.102940447549923,-15.748373817009663,0.0,-16.046335131862712,-12.672459650246218,-14.979152807133802,0.0
52,-15.830420700855518,-11.78304307622701,0.0,-11.874314515696565,0.0,-15.83828825806126,-4.94345510220312,-2.6440357667707333,0.0,-12.869730170929621,-15.183786344580895,-9.41796197372553,0.0,-15.919773713179344,0.0,-1.1451568003654273,-7.6451253635455085,-16.045382525859562,-15.74152177631199,0.0,-15.981306552282842,-10.502025993283802,-15.167959064837877,0.0
53,-16.22463646038483,-12.20141515221543,0.0,-11.62551753205831,0.0,-15.860965370718482,-16.016178115108467,-1.9467809098558289,0.0,-16.23736711621361,-14.09680834793383,-8.911585996497982,0.0,-16.108873347727275,0.0,0.0,-3.733098528463853,-15.328712154783613,-16.234928235102526,0.0,-16.138216940429704,-2.523396161154735,-15.149968911459672,0.0
54,-15.805274380926072,-14.766619159604637,0.0,-9.755920250570615,0.0,-13.163726399457564,-11.204050484385515,-3.895383112596541,-2.070678850987447,-15.94804900444319,-6.554301103408434,-15.992392780899753,0.0,-15.955895408797927,0.0,-2.647683232603508,-9.745996358285627,-16.10869497216664,-16.183641008493073,0.0,-16.0331938500592,-9.35213377021587,-13.849916447543896,0.0
55,-15.704589504264487,-11.189736839073756,0.0,-11.671020070163452,0.0,-16.029363669183997,-7.603946056853132,-3.17799595029695,0.0,-3.205918925999121,-8.760439385233287,-15.79037344996387,0.0,-15.842211532793296,0.0,-10.0587309701271,-5.110622178171246,-15.785698268328497,-15.861485912980465,0.0,-16.20660100755802,-4.023914154301096,-6.953227728694836,0.0
56,-15.987524035774236,-11.257507184186649,0.0,-15.73616402334014,0.0,-15.688963742683892,-9.950503369414708,-3.942650979875614,0.0,0.0,-7.535861528358436,-7.801936838612062,-4.666772167764999,-15.68986153178332,0.0,-13.615504184174466,0.0,-15.781756211054253,-12.949324958640618,0.0,-16.210163266891843,-3.4840409100095506,-8.283761592586321,0.0
57,-15.833675059320713,-10.51763991084163,0.0,-15.969243027761971,-1.551846358062971,-15.759156123010072,-7.127118313086841,0.0,0.0,0.0,-4.141656687199029,-4.378257161539863,-2.8255063022780083,-15.910382292513086,0.0,-15.736534283334336,0.0,-14.556151207254507,-15.920570312807781,0.0,-15.71954366917229,-5.662313313286198,-10.399000318226575,0.0
58,-15.809922962891571,0.0,0.0,-15.952015020511737,-1.7963071605135918,-11.33153620626904,-10.580769161209911,0.0,0.0,0.0,0.0,-13.915130107286117,-3.1469799696389646,-16.179499675528735,0.0,-16.288943120422942,0.0,-15.952847515842626,-16.29026690033609,0.0,-15.694020360461796,0.0,-5.847717197657673,0.0
