Step,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36
31,0.042427718582289525,-2.0871156666553428,4.869598571806739,0.1377972531386435,2.232395299744169,-8.136419463957889,-5.462651932779088,-3.206381988829661,13.579978293192895,0.7022983590573328,3.8666775467370478,-0.34748684093145304,-5.369300247521684,-2.142016728265564,-0.7048799818248908,1.2697597492685513,3.289370864559622,-0.526113773070453,-12.37334350593407,-5.121293875827749,-1.087410265064955,0.8594293725252664,2.3422944263798806,1.8810345347271318,1.2798362662243061,11.413768940436919,3.8501618989837265,2.0983222123884406,-0.5519177716047126,-10.720221847542355,7.546284655733696,5.423921811329902,-5.808854407101655,2.0939495654413967,0.27920394420763006,-2.4014867131188
32,-1.087730449849432,-0.5424137393339189,5.900083852676543,0.09953802656393776,2.361450448104228,-9.541018143430906,-7.624733778467575,-5.347962561803144,11.258626722027198,0.6779838989184714,3.888976089295117,-0.7862264123577296,-4.250774279648996,-3.6907541943059416,0.47372179025215616,1.537738867220213,3.125580168686929,-1.442068555085298,-23.768806415491323,-5.173362024839491,-19.14800174857952,0.5661637071955681,2.3674490818291747,4.673272005445566,-3.1363402951597315,8.580505454212672,3.43288812222435,2.1697341134480266,-0.263461741875134,-11.326431025839304,1.293479018303926,2.9233337055820288,-6.654505161192535,1.3198091772747436,-0.15479445269122324,-0.7127170035677023
33,-3.4085838466885368,0.4176256520242303,7.676400182787543,-0.09995959702884542,2.3818781744758932,-10.31300521274771,-8.7092284142469,-5.8004134923091355,9.238906827681253,0.758703230373185,3.8270343794248194,-1.3106290836990206,-5.357828195445596,-3.6539963756718086,-3.082517032719333,1.8993991566146635,3.012307914175216,-2.023673837464481,-27.251808259196327,-1.6555104608504356,-22.050829745457172,0.46276685428219805,2.213313480973556,6.436882735613672,-3.520049529596727,5.562094983885556,6.834045326644756,2.044389943768605,-0.4445759678648381,-10.690426985525592,-1.6671318031646023,1.5947263990159246,-5.726192619903328,0.45953928540233735,-0.9169243474415075,-0.18428558258537173
34,-3.3938343802215414,-2.6929203496677236,9.281598233973767,-0.4379202242547819,2.407298529762637,-10.488295510467358,-14.93565547860691,-3.091369768735164,7.239428455828543,0.8453332055312069,3.720791287227348,-1.7286965892410215,-15.295935870896072,2.2692758805918816,-25.188671019720385,2.1698798052544435,2.9573620328546273,-2.259399940989212,-27.453605437922153,-0.016340213198441447,-20.22394561639318,0.41155366993755144,2.1335914577529342,7.497252699325214,-10.99072129010566,0.2296296830539349,9.22015132428417,1.6895407833960823,-0.930693691458521,-9.431028636555627,-6.040219240566109,1.145182720400466,-4.620824866656798,-0.4555536779126016,-1.658429125124886,-0.06344749734035533
35,-2.9500141309166215,-5.176687245551556,11.015148902174216,-0.7188203761982167,2.3995610860632097,-10.422667801027002,-11.84011870802255,-0.5353601446731637,5.797028041084727,0.846861423010416,3.4814434110287964,-3.047364854409031,-18.369004376008235,1.742423374685326,-28.73162797616622,1.8595745104207833,2.629550407519676,-1.9884070506560003,-26.119167712420428,1.9855871465016628,-17.52984600641231,0.3639152175856728,2.129563612475411,7.423159329200737,-16.055246021645655,2.4160377402092643,9.195451133545268,1.1557570926553975,-1.0450040056731955,-7.4609789103210575,-22.92861954557102,10.430743555722675,-3.5470217229424588,-0.6668487075217293,-1.6174259448015627,-1.0985753178314221
36,-3.0884306637784267,-5.6988655453710955,11.304013596377416,-0.9169751683078158,2.455146981634198,-9.863700805678913,-15.756167593767946,-1.792544073487743,6.408073340269733,0.8165181613871133,3.257280550030339,-4.633017244856851,-18.97225872866382,-0.6348728820590084,-26.104557796319597,1.4046942305060612,2.2467244600774463,-1.989993537296104,-22.663192123929413,3.489352774010493,-14.509192829655463,0.34823924885703883,2.265880590310023,6.34929650317524,-18.465357943391407,4.52765666674074,9.059415810256011,0.6588900286180797,-0.9258402548334694,-5.194629232119253,-17.559142792423255,13.486246325055765,-3.0412322661412197,-0.5744326006244903,-1.3738216019137226,-2.9063676470694224
37,-2.944526220670078,-5.5171222068701775,10.74780027788028,-1.069123195016145,2.4703816353008756,-8.672328536575176,-16.089635641090652,-2.9477235765624012,6.43016116255706,0.7484669108742652,2.9820142757621184,-5.558316628818966,-17.88070666017725,-2.8725950821102333,-22.270382960782857,0.9410646185739804,1.988065236010649,-1.7731928081853972,-19.93994676288983,4.625705159800904,-12.193318965694756,0.36641334410482473,2.371158281902144,4.67481736497203,-18.906952087375913,6.297085025143229,8.841479260712081,0.22340833109135455,-0.7572768608584912,-3.02230012512127,-13.754343959453859,12.360066517317172,-3.0951417603819076,-0.5342759988920002,-1.2416061422942464,-4.097434614885509
38,-2.752918640777228,-5.509535046775893,10.082437158703982,-1.1851390902808916,2.4612481445249883,-7.076339894339185,-15.186582227085951,-3.8775458831842986,5.965087476275551,0.6762661163416012,2.7579696414761523,-5.714835694026245,-16.215563505245278,-4.174880492516985,-18.47168730089156,0.4898491913723304,1.8097399262279807,-1.4045486492287929,-16.96623400178678,5.166383023055431,-10.332311729964687,0.3719862145987001,2.5560901296659706,2.5673669291294603,-18.197614065163513,7.856814507838286,8.441338082174193,-0.2194698844161516,-0.649372670387298,-1.0348154476184168,-11.526769522233698,11.575081301355223,-2.33487153610306,-0.549551631278935,-1.2114822998138466,-4.851300410892152
39,-2.8206351015031244,-10.353560150022595,12.372663679332886,-1.3425792040219413,2.419558277044244,-4.538796117131034,-13.689390500603619,-5.833611564898119,5.338721563470669,0.6340283806288913,2.5436006483496505,-5.181350009394261,-16.003287984764402,-4.078281828201518,-15.239014256259498,0.083142746896015,1.7014711394555748,-0.9490702429553016,-10.093435618748774,7.024104526903891,-8.734286246992694,0.425490254911322,2.5511438245566422,1.0051531140361467,-19.32606232328811,8.565326704030813,6.8300956251345735,-0.5715883225358103,-0.64616094136365,0.5650118449316012,-12.522491921638233,10.600597992423772,0.10712903476255083,-0.6193719037615083,-1.2413779877041964,-5.196636423630712
40,-1.89588906672725,-12.499926910816123,12.380980075280663,-1.4580980562819021,2.3378402542195094,-1.240938317280972,-13.198857214543542,-5.702667352811287,4.914010615845167,0.657844693917291,2.3850980778218616,-4.147857216226855,-15.591122586308614,-4.316775742530372,-12.826004684056388,-0.2566082839623438,1.712483918324721,-0.3150790962398815,-8.45815802487089,6.492778376156071,-8.658083445467822,0.5081962370994355,2.4153456320036337,0.09066279737842518,-17.229608342177272,8.019325219319471,0.7334438537234348,-0.8003732577845235,-0.7256422989959576,1.5258486573851573,-12.520005047070606,9.59601417298974,0.6328056158359585,-0.7150398297806486,-1.2766385602801813,-5.035664041264718
41,-1.8948081434683928,-13.51938437872736,10.344298384162768,-1.4320256779011327,2.445749202690343,2.059295226434478,-12.358392712879487,-5.391063260968934,4.742624564641083,0.6600927076004183,2.197097945710403,-2.701374709695217,-11.137540946099206,-0.35296976764783206,-10.66731671865402,-0.5516733311266122,1.782927628797841,0.49955804402355763,-6.489254286112624,3.605245586453173,-7.9244624082257245,0.5598040428206619,2.243087475446854,-0.34366828455779064,-15.434879328105831,8.473113338286318,-1.509396439072985,-0.4052751126161482,-0.5102683469522192,1.8267088456436116,-18.142726118357157,11.836825605326693,1.8867732565664856,-0.7616524177983813,-1.2892479023469081,-4.679747125910493
